food,gi,ss,gload,food_category
Parsnips,52,80,4,VEGETABLES
Baked russet potato,111,150,33,VEGETABLES
"Boiled white potato, average",82,150,21,VEGETABLES
"Instant mashed potato, average",87,150,17,VEGETABLES
"Sweet potato, average",70,150,22,VEGETABLES
"Yam, average",54,150,20,VEGETABLES
Hummus (chickpea salad dip),6,30,0,MISCELLANEOUS
"Chicken nuggets",46,100,7,MISCELLANEOUS
"Pizza (plain - parmesan & tomato sauce)",80,100,22,MISCELLANEOUS
"Pizza, Super Supreme (Pizza Hut®)",36,100,9,MISCELLANEOUS
"Honey, average",61,25,12,MISCELLANEOUS
